Latitude,Longitude
51.1803138,-114.1320062
51.1803246,-114.132092
51.1803997,-114.1321993
51.1805069,-114.1321564
51.1801851,-114.1320062
51.1803246,-114.1319847
51.1803138,-114.1320276
51.1803782,-114.1320705
51.1807108,-114.1320705
51.1801636,-114.1321349
51.1804426,-114.1319847
51.180346,-114.1320491
51.1803997,-114.1319203
51.1803889,-114.1320062
51.180346,-114.1320062
51.1802924,-114.1319418
51.1804748,-114.1321993
51.1801529,-114.1320276
51.1802709,-114.1321778
51.1803246,-114.1320491
51.1803782,-114.1320062
51.1802602,-114.132092
51.1803031,-114.1320276
51.180228,-114.1320491
51.1802816,-114.1320062
51.1802924,-114.1319633
51.1803782,-114.132092
51.1803567,-114.1321349
51.1805606,-114.1320062
51.1803567,-114.1321564
51.1804426,-114.132092
51.1801314,-114.1320705
51.1802495,-114.1320062
51.1804104,-114.1320705
51.1803675,-114.1320705
51.180228,-114.1320491
51.1803138,-114.1320062
51.180228,-114.1321993
51.1804211,-114.1321778
51.1803675,-114.1322422
51.1801422,-114.1321564
51.1803138,-114.132328
51.1801744,-114.1325212
51.1803246,-114.1321564
51.1804104,-114.1320062
51.1802816,-114.1319847
51.1803782,-114.1320276
51.1802816,-114.1320705
51.1802924,-114.1319203
51.180228,-114.1320062
51.180346,-114.1320491
51.1802495,-114.1320491
51.1803138,-114.132092
51.1803997,-114.1320705
51.1804318,-114.1321564
51.1803889,-114.1320705
51.1804533,-114.1321135
51.1801958,-114.1320062
51.1802924,-114.1321778
51.1803567,-114.1321135
51.1803246,-114.1320062
51.1802602,-114.1320491
51.180346,-114.1320062
51.1803889,-114.1320491
51.1802924,-114.1320705
51.180346,-114.1320062
51.1802387,-114.1320491
51.1803675,-114.1320276
51.1802387,-114.1320705
51.1803675,-114.1320276
51.1803782,-114.1320062
51.1803031,-114.1320062
51.1803675,-114.1320491
51.1802495,-114.1320062
51.1802924,-114.1319203
51.1803138,-114.1319847
51.1803138,-114.1320705
51.1805177,-114.1313839
51.1803246,-114.1320062
51.1802065,-114.1320705
51.1803246,-114.1320276
51.1803031,-114.1321135
51.1803567,-114.1320491
51.1802924,-114.1320062
51.1803353,-114.1319847
51.180346,-114.1320491
51.1805284,-114.1321564
51.1804104,-114.132092
51.1803997,-114.1321349
51.1800671,-114.1319633
51.1801744,-114.1319847
51.1803246,-114.1320276
51.1802065,-114.1320705
51.1802924,-114.1321135
51.1802602,-114.1319418
51.1801207,-114.1319418
51.1802495,-114.1319418
51.1801314,-114.1320491
51.1802924,-114.1320491
51.1802924,-114.1320276
