Latitude,Longitude,Altitude
21.1803138,-114.1320062,1050
21.1803246,-114.1320920,1050
21.1803997,-114.1321993,1050
21.1805069,-114.1321564,1050
21.1801821,-114.1320062,1050
21.1803246,-114.1319847,1050
21.1803138,-114.1320276,1050
21.1803782,-114.1320705,1050
21.1807108,-114.1320705,1050
21.1801636,-114.1321349,1050
21.1804426,-114.1319847,1050
21.1803460,-114.1320491,1050
21.1803997,-114.1319203,1050
21.1803889,-114.1320062,1050
21.1803460,-114.1320062,1050
21.1802924,-114.1319418,1050
21.1804748,-114.1321993,1050
21.1801529,-114.1320276,1050
21.1802709,-114.1321778,1050
21.1803246,-114.1320491,1050
21.1803782,-114.1320062,1050
21.1802602,-114.1320920,1050
21.1803031,-114.1320276,1050
21.1802280,-114.1320491,1050
21.1802816,-114.1320062,1050
21.1802924,-114.1319633,1050
21.1803782,-114.1320920,1050
21.1803567,-114.1321349,1050
21.1805606,-114.1320062,1050
21.1803567,-114.1321564,1050
21.1804426,-114.1320920,1050
21.1801314,-114.1320705,1050
21.1802495,-114.1320062,1050
21.1804104,-114.1320705,1050
21.1803675,-114.1320705,1050
21.1802280,-114.1320491,1050
21.1803138,-114.1320062,1050
21.1802280,-114.1321993,1050
21.1804211,-114.1321778,1050
21.1803675,-114.1322422,1050
21.1801422,-114.1321564,1050
21.1803138,-114.1323280,1050
21.1801744,-114.1325212,1050
21.1803246,-114.1321564,1050
21.1804104,-114.1320062,1050
21.1802816,-114.1319847,1050
21.1803782,-114.1320276,1050
21.1802816,-114.1320705,1050
21.1802924,-114.1319203,1050
21.1802280,-114.1320062,1050
21.1803460,-114.1320491,1050
21.1802495,-114.1320491,1050
21.1803138,-114.1320920,1050
21.1803997,-114.1320705,1050
21.1804318,-114.1321564,1050
21.1803889,-114.1320705,1050
21.1804533,-114.1321135,1050
21.1801958,-114.1320062,1050
21.1802924,-114.1321778,1050
21.1803567,-114.1321135,1050
21.1803246,-114.1320062,1050
21.1802602,-114.1320491,1050
21.1803460,-114.1320062,1050
21.1803889,-114.1320491,1050
21.1802924,-114.1320705,1050
21.1803460,-114.1320062,1050
21.1802387,-114.1320491,1050
21.1803675,-114.1320276,1050
21.1802387,-114.1320705,1050
21.1803675,-114.1320276,1050
21.1803782,-114.1320062,1050
21.1803031,-114.1320062,1050
21.1803675,-114.1320491,1050
21.1802495,-114.1320062,1050
21.1802924,-114.1319203,1050
21.1803138,-114.1319847,1050
21.1803138,-114.1320705,1050
21.1802177,-114.1313839,1050
21.1803246,-114.1320062,1050
21.1802065,-114.1320705,1050
21.1803246,-114.1320276,1050
21.1803031,-114.1321135,1050
21.1803567,-114.1320491,1050
21.1802924,-114.1320062,1050
21.1803353,-114.1319847,1050
21.1803460,-114.1320491,1050
21.1805284,-114.1321564,1050
21.1804104,-114.1320920,1050
21.1803997,-114.1321349,1050
21.1800671,-114.1319633,1050
21.1801744,-114.1319847,1050
21.1803246,-114.1320276,1050
21.1802065,-114.1320705,1050
21.1802924,-114.1321135,1050
21.1802602,-114.1319418,1050
21.1801207,-114.1319418,1050
21.1802495,-114.1319418,1050
21.1801314,-114.1320491,1050
21.1802924,-114.1320491,1050
21.1802924,-114.1320276,1050
